,uuid,fieldname,title,description,type,ratio_t,ratio_d
0,f0ef08fd-d733-465c-bc66-5de0b826c41b,dmp/project/title,Project name,,Matched,12,0
1,73d686bd-7939-412e-8631-502ee6d9ea7b,dmp/contributor/,Contributor,Each person contributing to creating or executing the data management plan should be added as a contributor,Matched,100,100
2,6155ad47-3d1e-4488-9f2a-742de1e56580,dmp/contributor/name,Name,,Matched,100,0
3,3a2ffc13-6a0e-4976-bb34-14ab6d938348,dmp/contributor/mbox,Mail address,,Matched,12,0
4,6295a55d-48d7-4f3c-961a-45b38eeea41f,dmp/contributor/contributor_id/,ORCID Identifier,,Matched,47,0
5,829dcda6-db8a-40ac-819a-92b9b52490f5,dmp/contributor/role,Role,,Matched,100,0
6,3a2ffc13-6a0e-4976-bb34-14ab6d938348,dmp/contributor/mbox,Mail address,,Matched,12,0
7,f7468e79-c621-4ac9-95e0-263ebdf23c73,dmp/contact/,,,Matched,0,0
8,829dcda6-db8a-40ac-819a-92b9b52490f5,dmp/contributor/role,Role,,Matched,100,0
9,73d686bd-7939-412e-8631-502ee6d9ea7b,dmp/contributor/,Contributor,Each person contributing to creating or executing the data management plan should be added as a contributor,Matched,100,100
10,829dcda6-db8a-40ac-819a-92b9b52490f5,dmp/contributor/role,Role,,Matched,100,0
11,e33ae210-62fe-4665-b836-e71660325a06,dmp/dataset/technical_resource/,Instruments used for data collection,,Matched,26,0
12,45b61cd4-057a-40ff-873f-5558acf3568c,dmp/dataset/technical_resource/description,Instrument description,,Matched,100,0
13,2426addd-293b-4829-b87b-f3dd6b594516,dmp/dataset/technical_resource/name,Instrument Name,,Matched,100,0
14,e33ae210-62fe-4665-b836-e71660325a06,dmp/dataset/technical_resource/,Instruments used for data collection,,Matched,26,0
15,e33ae210-62fe-4665-b836-e71660325a06,dmp/dataset/technical_resource/,Instruments used for data collection,,Matched,26,0
16,45b61cd4-057a-40ff-873f-5558acf3568c,dmp/dataset/technical_resource/description,Instrument description,,Matched,100,0
17,2426addd-293b-4829-b87b-f3dd6b594516,dmp/dataset/technical_resource/name,Instrument Name,,Matched,100,0
18,2426addd-293b-4829-b87b-f3dd6b594516,dmp/dataset/technical_resource/name,Instrument Name,,Matched,100,0
19,829dcda6-db8a-40ac-819a-92b9b52490f5,dmp/contributor/role,Role,,Matched,100,0
20,22583d74-3c98-4e0a-b363-26d767c88212,dmp/project/description,Project abstract,,Matched,30,0
21,68530470-1f1c-4448-8593-63a288713a66,dmp/contributor/affiliation/,Affiliation,,Matched,100,0
22,73d686bd-7939-412e-8631-502ee6d9ea7b,dmp/contributor/,Contributor,Each person contributing to creating or executing the data management plan should be added as a contributor,Matched,100,100
23,1ccbd0bb-4263-4240-9dc5-936ef09eef53,dmp/project/funding/grant_id/,Grant number,,Matched,77,0
24,f0ef08fd-d733-465c-bc66-5de0b826c41b,dmp/project/title,Project name,,Matched,12,0
25,1ccbd0bb-4263-4240-9dc5-936ef09eef53,dmp/project/funding/grant_id/,Grant number,,Matched,77,0
26,22583d74-3c98-4e0a-b363-26d767c88212,dmp/project/description,Project abstract,,Matched,30,0
27,73d686bd-7939-412e-8631-502ee6d9ea7b,dmp/contributor/,Contributor,Each person contributing to creating or executing the data management plan should be added as a contributor,Matched,100,100
28,6155ad47-3d1e-4488-9f2a-742de1e56580,dmp/contributor/name,Name,,Matched,100,0
29,3a2ffc13-6a0e-4976-bb34-14ab6d938348,dmp/contributor/mbox,Mail address,,Matched,12,0
30,6295a55d-48d7-4f3c-961a-45b38eeea41f,dmp/contributor/contributor_id/,ORCID Identifier,,Matched,47,0
31,68530470-1f1c-4448-8593-63a288713a66,dmp/contributor/affiliation/,Affiliation,,Matched,100,0
32,829dcda6-db8a-40ac-819a-92b9b52490f5,dmp/contributor/role,Role,,Matched,100,0
33,e33ae210-62fe-4665-b836-e71660325a06,dmp/dataset/technical_resource/,Instruments used for data collection,,Matched,26,0
34,2426addd-293b-4829-b87b-f3dd6b594516,dmp/dataset/technical_resource/name,Instrument Name,,Matched,100,0
35,45b61cd4-057a-40ff-873f-5558acf3568c,dmp/dataset/technical_resource/description,Instrument description,,Matched,100,0
36,45b61cd4-057a-40ff-873f-5558acf3568c,dmp/dataset/technical_resource/description,Instrument description,,Matched,100,0
37,c3dabaaf-c946-4a0d-889c-ede966f97667,dmp/project/,Name the project(s) that are you will be working on and for which the data and work are described in this DMP,,Matched,100,0
38,c3dabaaf-c946-4a0d-889c-ede966f97667,dmp/project/,Name the project(s) that are you will be working on and for which the data and work are described in this DMP,,Matched,100,0
39,c3dabaaf-c946-4a0d-889c-ede966f97667,dmp/project/,Name the project(s) that are you will be working on and for which the data and work are described in this DMP,,Matched,100,0
40,f0ef08fd-d733-465c-bc66-5de0b826c41b,dmp/project/title,Project name,,Matched,12,0
41,22583d74-3c98-4e0a-b363-26d767c88212,dmp/project/description,Project abstract,,Matched,30,0
42,c3dabaaf-c946-4a0d-889c-ede966f97667,dmp/project/,Name the project(s) that are you will be working on and for which the data and work are described in this DMP,,Matched,100,0
43,1ccbd0bb-4263-4240-9dc5-936ef09eef53,dmp/project/funding/grant_id/,Grant number,,Matched,77,0
44,de84b9b5-bcd0-4954-8370-72ea83916b8c,dmp/project/start,Date the project will start,,Matched,100,0
45,c3dabaaf-c946-4a0d-889c-ede966f97667,dmp/project/,Name the project(s) that are you will be working on and for which the data and work are described in this DMP,,Matched,100,0
46,cabc6f07-6015-454e-b97a-c34db4ec0c60,dmp/project/end,Date the project will end,,Matched,100,0
47,de84b9b5-bcd0-4954-8370-72ea83916b8c,dmp/project/start,Date the project will start,,Matched,100,0
48,cabc6f07-6015-454e-b97a-c34db4ec0c60,dmp/project/end,Date the project will end,,Matched,100,0
49,c3dabaaf-c946-4a0d-889c-ede966f97667,dmp/project/,Name the project(s) that are you will be working on and for which the data and work are described in this DMP,,Matched,100,0
50,0b12fb8c-ee0f-40c0-9c53-b6826b786a0c,dmp/project/funding/,Funder,"Specify the name of the funder that you ask for funding for your project. If the funder is not present in the suggested list, please specify a complete URL to the funder web site.
",Matched,62,100
51,0b12fb8c-ee0f-40c0-9c53-b6826b786a0c,dmp/project/funding/,Funder,"Specify the name of the funder that you ask for funding for your project. If the funder is not present in the suggested list, please specify a complete URL to the funder web site.
",Matched,62,100
52,54ff3b18-652f-4235-8f9f-3c87e2d63169,dmp/project/funding/funding_status,Funding Status,,Matched,100,0
