"Section Description
RDA common maDMP standard","Common standard fieldname
(click on hyperlinks for descriptions)
(see GC_RDA DMP structure, here)",Added to DSW knowledge model?,, DSW knowledge model UUID,Link / key to DSW knowledge model location,"Logical model tracking
(done, pending, changed)",Logical model changes,Logical model comments,Example,Data type,GC DMP Requirement,"required IF"" dependency",Cardinality RDA,Cardinality change GC,Required by,LAC requirement at time of transfer for archival datasets,"DataCite Record for DMP (Mandatory, Optional, Recommended)",Corresponding DataCite field(s),"DataCite Record for Dataset (M, O, R)",Corresponding DataCite field(s),NSL/NRC requirement,Recommended by,Simple fieldname,Nom de domaine simple,Nom de domaine,"Verification 1
agree/disagree (initials)","Verification 2
agree/disagree (initials)","Verification 3
agree/disagree (initials)",Verification comments 1,Verification comments 2,Verification comments 3
"1. DMP GENERAL INFO
Provides high level information about the DMP, e.g. its title, modification date, etc. It is the root of the application profile. The majority of its fields are mandatory.",dmp/access,TRUE,,n/a (top level),,done,Pointing to Distribution,,open,controlled vocabulary,required,,1,,,,,,,,,,dmp_access,dmp_accès,pgd/accès,KT yes,AR yes,,,,
,dmp/access_url,TRUE,,n/a (top level),,done,,,,uri,required IF,,,,,,,,,,,,dmp_access_url,pgd_accès_url,,,,,,,
,dmp/approval/,TRUE,,e8b5a160-8fde-42b4-afd9-ce682cb1306a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e8b5a160-8fde-42b4-afd9-ce682cb1306a,done,,,,,,,,,,,,,,,,,,,,,,,,,
,dmp/approval_by_mbox,TRUE,,a14a2c5b-9a00-4107-be90-43fb4b63fbb6,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a14a2c5b-9a00-4107-be90-43fb4b63fbb6,changed,Added an Approval Class with all these attributes,0..n,,string (free-form text),optional,,NA,0..n,,,,,,,,,dmp_approval_by_mbox,pgd_apprové_par_id_courriel,,KT see questions,,,,,
,dmp/approval_by_name,TRUE,,59f57cf7-8cb2-445e-ab48-80b32d643a85,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=59f57cf7-8cb2-445e-ab48-80b32d643a85,changed,,1..n,,string (free-form text),required,,NA,1..n,,,,,,,,,dmp_approval_by_name,pgd_apprové_par_nom,,KT see questions,,,,,
,dmp/approval_by_position,TRUE,,e85ab3c4-ac99-420b-a394-6bf8a9476d2e,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e85ab3c4-ac99-420b-a394-6bf8a9476d2e,changed,,1,director general,controlled vocabulary,required,,NA,1..n,,,,,,,,,dmp_approval_by_position,pgd_apprové_par_position,,KT yes,,,,,
,dmp/approval_date,TRUE,,1abfd92a-780e-437d-9d7c-fac6147243e0,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1abfd92a-780e-437d-9d7c-fac6147243e0,changed,,1,,DateTime. ISO 8601 datetime compliant string.,required,,NA,1..n,,,,,,,,,dmp_approval_date,pgd_apprové_date,,KT see questions,,,,,
,dmp/approval_description,TRUE,,8025e381-0168-404b-9d61-4e44da775318,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8025e381-0168-404b-9d61-4e44da775318,changed,,0..1,,string (free-form text),optional,,NA,0..n,,,,,,,,,dmp_approval_description,pgd_approbation_description,,KT see questions,,,,,
,dmp/approval_status,TRUE,,60c6355a-0b9a-4731-a739-5fac19d84c85,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=60c6355a-0b9a-4731-a739-5fac19d84c85,changed,,1,rejected,controlled vocabulary,required,,NA,1..n,,,,,,,,,dmp_approval_status,pgd_approbation_statut,,KT see questions,,,"KT: Suggesting to alphabetize these properties for easier reading. General questions about the dmp/approval properties: it might be helpful to make the name and date properties mandatory. Would it be enough to know that the dmp had been approved, when you don't know by whom? Would someone wonder if whomever approved it had the correct authority to do so? Mandatory name (and possibly position_title information) would help with this. An approval date would also be helpful to reference over time. Also, do you anticipate the DMP being updated, needing approval more than once? If so, you may consider making these repeatable properties. If repeatble, ideally former values (i.e., approved by person X with position X on date X) would not be over-written, but rather saved as audit information. Just some food for thought!",done (CCA),
,dmp/classification_level,TRUE,,a0f01ae0-51f1-402d-9cb7-62111559fecc,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a0f01ae0-51f1-402d-9cb7-62111559fecc,done,,,unclassified,controlled vocabulary,required,,NA,1,"TBS Policy on Service and Digital 4.3.2.7, LAC* (*Required at time of transfer to LAC, datasets with archival value)",Y (Rights Management Information),,,,,,LAC,dmp_classification_level,pgd_classification_niveau,pgd/classification_niveau,KT yes,AR yes,,"KT: see questions in ""Features"" tab regarding the protection and classification GC properties",,
,dmp/created,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,2021-04-15T10:53:49,DateTime. ISO 8601 datetime compliant string,optional,,1,,,,R,"date
dateType=""Created""
dateInformation   (0-1)",,,,,dmp_date_created,pgd_date_créé,pgd/créé,KT yes,AR yes,,"KT: Did not verify any information in ""Nom de domaine simple"" or ""Nom de domaine"" columns.",,
,dmp/description,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,We are so stoked to have this tool to create our first DMP and finally get our data under control.,string (free-form text),optional,,0..1,,,,R,"description (0-n) with language attribute
descriptionType (1)",,,,,dmp_description,pgd_déscription,pgd/déscription,KT yes,AR yes,,,,
,dmp/dmp_id/,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,,nested data structure,required,,1,,,,,,,,,,,,pgd/pgd_id/,KT yes,AR yes,,KT: added cardinality and data type,,
,dmp/dmp_id/identifier,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,https://doi.org/10.1371/journal.pcbi.1006750,string (free-form text),required,,1,,,,"M if DOI
O if alternate identifier","identfier
alternateIdentifier",,,,,dmp_id_identifier,pgd_id_identificateur,pgd/pgd_id/identificateur,KT yes,AR yes,,,,
,dmp/dmp_id/type,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,doi,controlled vocabulary,required,,1,,,,M   if identifier or alternateIdentifier,"identifierType
alternateIdentifierType",,,,,dmp_id_type,pgd_id_type,pgd/pgd_id/type,KT yes,AR yes,,,,
,dmp/dmp_id/type_other,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,dmp_id_type_other,pgd_id_autre,,,,,,,
,dmp/download_url,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,Pointing to Distribution,,,uri,required IF,,,,,,,,,,,,dmp_download_url,pgd_télécharger_url,,,,,,,
,dmp/format,TRUE,,n/a (top level),http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=n/a (top level),done,,,"PDF, RDF/XML",controlled vocabulary,optional,,NA,0..n,,,,,,,,,,,,,,,,,
